brand,original_country,index
Nissan,Japan,3245
Honda,Japan,3246
Subaru,Japan,3247
Subaru,Japan,3248
Nissan,Japan,3249
Nissan,Japan,3250
Toyota,Japan,3251
Suzuki,,3252
Nissan,Japan,3253
Honda,Japan,3254
Honda,Japan,3255
Honda,Japan,3256
Mitsubishi,Japan,3257
MG,China,3258
Nissan,Japan,3259
Ford,USA,3260
Toyota,Japan,3261
Toyota,Japan,3262
Toyota,Japan,3263
Mitsubishi,Japan,3264
Mitsubishi,Japan,3265
Mitsubishi,Japan,3266
MG,China,3267
Nissan,Japan,3268
Ford,USA,3269
MG,China,3270
MG,China,3271
MG,China,3272
Nissan,Japan,3273
Ford,USA,3274
Isuzu,Japan,3275
Honda,Japan,3276
Honda,Japan,3277
Toyota,Japan,3278
Toyota,Japan,3279
Honda,Japan,3280
Honda,Japan,3281
Honda,Japan,3282
Toyota,Japan,3283
MG,China,3284
Honda,Japan,3285
Mitsubishi,Japan,3286
Honda,Japan,3287
Isuzu,Japan,3288
Honda,Japan,3289
Honda,Japan,3290
Isuzu,Japan,3291
Ford,USA,3292
Ford,USA,3293
Isuzu,Japan,3294
Honda,Japan,3295
Honda,Japan,3296
Isuzu,Japan,3297
Isuzu,Japan,3298
Mazda,Japan,3299
Nissan,Japan,3300
Isuzu,Japan,3301
Honda,Japan,3302
Isuzu,Japan,3303
Mazda,Japan,3304
Honda,Japan,3305
Isuzu,Japan,3306
Mitsubishi,Japan,3307
Toyota,Japan,3308
Honda,Japan,3309
Isuzu,Japan,3310
Mazda,Japan,3311
Nissan,Japan,3312
Isuzu,Japan,3313
Honda,Japan,3314
MG,China,3315
Honda,Japan,3316
Nissan,Japan,3317
Ford,USA,3318
Toyota,Japan,3319
Toyota,Japan,3320
Isuzu,Japan,3321
Honda,Japan,3322
Mitsubishi,Japan,3323
Toyota,Japan,3324
Mazda,Japan,3325
Toyota,Japan,3326
Nissan,Japan,3327
Suzuki,,3328
Mazda,Japan,3329
Suzuki,,3330
Honda,Japan,3331
Mazda,Japan,3332
Honda,Japan,3333
Honda,Japan,3334
Nissan,Japan,3335
Ford,USA,3336
MG,China,3337
Suzuki,,3338
MG,China,3339
Ford,USA,3340
Nissan,Japan,3341
MG,China,3342
Nissan,Japan,3343
Hyundai,Korea,3344
Ford,USA,3345
Isuzu,Japan,3346
Mazda,Japan,3347
MG,China,3348
Toyota,Japan,3349
Honda,Japan,3350
Honda,Japan,3351
MG,China,3352
Ford,USA,3353
Suzuki,,3354
Toyota,Japan,3355
Mazda,Japan,3356
Toyota,Japan,3357
MG,China,3358
Nissan,Japan,3359
Mazda,Japan,3360
Mazda,Japan,3361
Toyota,Japan,3362
Mitsubishi,Japan,3363
Suzuki,,3364
Honda,Japan,3365
Nissan,Japan,3366
Isuzu,Japan,3367
Mazda,Japan,3368
Mitsubishi,Japan,3369
Toyota,Japan,3370
MG,China,3371
Honda,Japan,3372
