,index,brand_x,model,year,price,currency,kilometers_driven,transmission_type,pay_per_month_value,pay_per_month_unit,brand_y,original_country
77,15,Mazda,CX-5_SP_2.0,2018,790900,THB,110041,Automatic,13117,THB/MONTH,Mazda,Japan
78,15,Mazda,CX-5_SP_2.0,2018,806900,THB,110041,Automatic,13382,THB/MONTH,Mazda,Japan
79,15,Mazda,CX-5_SP_2.0,2018,806900,THB,110041,Automatic,13382,THB/MONTH,Mazda,Japan
80,16,Ford,RANGER_DOUBLE_CAB_WILDTRAK_2.0,2020,780900,THB,13590,Automatic,12951,THB/MONTH,Ford,USA
81,16,Ford,RANGER_DOUBLE_CAB_WILDTRAK_2.0,2020,780900,THB,13590,Automatic,12951,THB/MONTH,Ford,USA
82,16,Ford,RANGER_DOUBLE_CAB_WILDTRAK_2.0,2020,780900,THB,13590,Automatic,12951,THB/MONTH,Ford,USA
83,16,Ford,RANGER_DOUBLE_CAB_WILDTRAK_2.0,2020,796900,THB,13590,Automatic,13217,THB/MONTH,Ford,USA
84,16,Ford,RANGER_DOUBLE_CAB_WILDTRAK_2.0,2020,796900,THB,13590,Automatic,13217,THB/MONTH,Ford,USA
85,17,Honda,HR-V_RS_1.8,2019,761900,THB,62531,Automatic,12636,THB/MONTH,Honda,Japan
86,17,Honda,HR-V_RS_1.8,2019,761900,THB,62531,Automatic,12636,THB/MONTH,Honda,Japan
87,17,Honda,HR-V_RS_1.8,2019,761900,THB,62531,Automatic,12636,THB/MONTH,Honda,Japan
88,17,Honda,HR-V_RS_1.8,2019,777900,THB,62531,Automatic,12901,THB/MONTH,Honda,Japan
89,17,Honda,HR-V_RS_1.8,2019,777900,THB,62531,Automatic,12901,THB/MONTH,Honda,Japan
90,18,Honda,HR-V_RS_1.8,2019,761900,THB,14200,Automatic,12636,THB/MONTH,Honda,Japan
91,18,Honda,HR-V_RS_1.8,2019,761900,THB,14200,Automatic,12636,THB/MONTH,Honda,Japan
92,18,Honda,HR-V_RS_1.8,2019,761900,THB,14200,Automatic,12636,THB/MONTH,Honda,Japan
93,18,Honda,HR-V_RS_1.8,2019,777900,THB,14200,Automatic,12901,THB/MONTH,Honda,Japan
94,18,Honda,HR-V_RS_1.8,2019,777900,THB,14200,Automatic,12901,THB/MONTH,Honda,Japan
95,19,Toyota,C-HR_MID_1.8,2018,618900,THB,126594,Automatic,10264,THB/MONTH,Toyota,Japan
96,19,Toyota,C-HR_MID_1.8,2018,618900,THB,126594,Automatic,10264,THB/MONTH,Toyota,Japan
97,19,Toyota,C-HR_MID_1.8,2018,618900,THB,126594,Automatic,10264,THB/MONTH,Toyota,Japan
98,19,Toyota,C-HR_MID_1.8,2018,631900,THB,126594,Automatic,10480,THB/MONTH,Toyota,Japan
