index,brand,model,year,price,currency,kilometers_driven,transmission_type,pay_per_month_value,pay_per_month_unit
60,Subaru,FORESTER_I-S_ES_(EYE-SIGHT)_2.0,2019,895900,THB,84056,Automatic,14859,THB/MONTH
61,Toyota,COROLLA_ALTIS_G_1.6,2019,590900,THB,92406,Automatic,9800,THB/MONTH
62,Toyota,VIOS_J_1.5,2016,344900,THB,162443,Automatic,5720,THB/MONTH
63,Toyota,HILUX_REVO_SMART_CAB_E_PRERUNNER_2.4,2018,487900,THB,130332,Automatic,8092,THB/MONTH
64,Toyota,VIOS_MID_1.5,2019,453900,THB,46284,Automatic,7528,THB/MONTH
65,Subaru,FORESTER_I-P_2.0,2016,596900,THB,135826,Automatic,9900,THB/MONTH
66,Suzuki,CIAZ_GL_1.2,2022,414900,THB,18234,Automatic,6881,THB/MONTH
67,MG,ZS_X_1.5,2018,444900,THB,72651,Automatic,7379,THB/MONTH
68,Nissan,JUKE_E_1.6,2014,331900,THB,105610,Automatic,5505,THB/MONTH
69,Ford,ECOSPORT_TREND_1.5,2017,338900,THB,100774,Automatic,5621,THB/MONTH
70,Mitsubishi,MIRAGE_GLX_1.2,2019,340900,THB,20272,Automatic,5654,THB/MONTH
71,Nissan,TEANA_200_XL_NAVI_2.0,2015,495900,THB,69217,Automatic,8225,THB/MONTH
72,Ford,ECOSPORT_TITANIUM_1.5,2018,359900,THB,104166,Automatic,5969,THB/MONTH
73,Isuzu,D-MAX_DOUBLE_CAB_HI-LANDER_Z_1.9,2017,605900,THB,122662,Manual,10049,THB/MONTH
74,MG,MG3_D_1.5,2015,230900,THB,171783,Automatic,3829,THB/MONTH
75,Mitsubishi,TRITON_MEGA_CAB_GT_PLUS_2.4,2018,482900,THB,62328,Manual,8009,THB/MONTH
76,MG,MG3_XROSS_X_1.5,2015,255900,THB,98764,Automatic,4244,THB/MONTH
77,Mitsubishi,TRITON_DOUBLE_CAB_PLUS_GLS_LIMITED_EDITION_2.4,2016,477900,THB,111782,Manual,7926,THB/MONTH
78,Toyota,VIOS_E_1.5,2018,403900,THB,128429,Automatic,6699,THB/MONTH
79,Ford,ECOSPORT_AMBIENTE_1.5,2015,258900,THB,113768,Automatic,4294,THB/MONTH
80,Honda,CITY_S_1.5,2019,439900,THB,107752,Automatic,7296,THB/MONTH
81,Toyota,CAMRY_G_2.0,2019,921900,THB,100546,Automatic,15290,THB/MONTH
82,MG,MG3_X_1.5,2017,265900,THB,48386,Automatic,4410,THB/MONTH
83,Honda,JAZZ_V_1.5,2015,427900,THB,167903,Automatic,7097,THB/MONTH
84,Ford,RANGER_DOUBLE_CAB_HI-RIDER_WILDTRAK_2.2,2016,547900,THB,121349,Manual,9087,THB/MONTH
85,Mitsubishi,TRITON_MEGA_CAB_GT_PLUS_2.4,2018,482900,THB,78822,Manual,8009,THB/MONTH
86,Toyota,CAMRY_G_2.0,2018,908900,THB,143762,Automatic,15074,THB/MONTH
87,Honda,CIVIC_EL_1.8,2016,601900,THB,161522,Automatic,9983,THB/MONTH
88,Toyota,VIOS_HIGH_1.5,2019,502900,THB,38323,Automatic,8341,THB/MONTH
89,Nissan,ALMERA_E_SPORTECH_1.2,2017,301900,THB,131730,Automatic,5007,THB/MONTH
90,Honda,CIVIC_EL_1.8,2018,652900,THB,104615,Automatic,10828,THB/MONTH
91,Suzuki,SWIFT_GLX_1.2,2013,274900,THB,120888,Automatic,4559,THB/MONTH
92,Mazda,CX-5_XD_2.2,2019,1009900,THB,85775,Automatic,16749,THB/MONTH
93,Mazda,CX-3_E_2.0,2016,416900,THB,77190,Automatic,6914,THB/MONTH
94,Nissan,X-TRAIL_V_4WD_2.0,2016,533900,THB,136930,Automatic,8855,THB/MONTH
95,Ford,EVEREST_TITANIUM+_4WD_3.2,2017,881900,THB,157315,Automatic,14626,THB/MONTH
96,Ford,RANGER_DOUBLE_CAB_4WD_WILDTRAK_3.2,2014,507900,THB,115642,Automatic,8424,THB/MONTH
97,MG,MG3_D_1.5,2016,232900,THB,128176,Automatic,3863,THB/MONTH
98,Mazda,3_SP_2.0,2019,805900,THB,63437,Automatic,13366,THB/MONTH
99,Toyota,YARIS_ATIV_S_1.2,2018,434900,THB,134390,Automatic,7213,THB/MONTH
100,Mitsubishi,MIRAGE_GLX_1.2,2019,295900,THB,71652,Manual,4908,THB/MONTH
101,Toyota,VIOS_E_1.5,2018,403900,THB,124282,Automatic,6699,THB/MONTH
102,Subaru,XV_I_2.0,2014,425900,THB,146038,Automatic,7064,THB/MONTH
103,Nissan,NP300_NAVARA_KING_CAB_E_CALIBRE_BLACK_EDITION_2.5,2019,451900,THB,95015,Manual,7495,THB/MONTH
104,Nissan,MARCH_S_1.2,2018,247900,THB,47708,Manual,4111,THB/MONTH
105,Honda,CIVIC_TURBO_RS_1.5,2016,702900,THB,116575,Automatic,11658,THB/MONTH
106,MG,MG3_X_1.5,2015,238900,THB,103773,Automatic,3962,THB/MONTH
107,Mazda,3_MAXX_SPORTS_2.0,2013,332900,THB,126868,Automatic,5521,THB/MONTH
