,brand,model,year,price,currency,pay_per_month,kilometers_driven,transmission_type
99,Mazda,3_S_SPORTS_2.0,2014,414900,บาท,6881 บาท /เดือน,82506,Automatic
100,Nissan,ALMERA_E_SPORTECH_1.2,2017,301900,บาท,5007 บาท /เดือน,131730,Automatic
101,Mitsubishi,XPANDER_GT_1.5,2019,581900,บาท,9651 บาท /เดือน,65469,Automatic
102,Honda,CIVIC_EL_1.8,2018,652900,บาท,10828 บาท /เดือน,104615,Automatic
103,Suzuki,SWIFT_GLX_1.2,2013,274900,บาท,4559 บาท /เดือน,120888,Automatic
104,Mazda,CX-5_XD_2.2,2019,1009900,บาท,16749 บาท /เดือน,85775,Automatic
105,Nissan,X-TRAIL_V_4WD_2.0,2016,533900,บาท,8855 บาท /เดือน,136930,Automatic
106,Ford,EVEREST_TITANIUM+_4WD_3.2,2017,881900,บาท,14626 บาท /เดือน,157315,Automatic
107,Ford,RANGER_DOUBLE_CAB_4WD_WILDTRAK_3.2,2014,507900,บาท,8424 บาท /เดือน,115642,Automatic
108,MG,MG3_D_1.5,2016,232900,บาท,3863 บาท /เดือน,128176,Automatic
109,Mazda,3_SP_2.0,2019,805900,บาท,13366 บาท /เดือน,63437,Automatic
110,Toyota,YARIS_ATIV_S_1.2,2018,434900,บาท,7213 บาท /เดือน,134390,Automatic
111,Honda,ACCORD_TECH_2.4,2013,555900,บาท,9220 บาท /เดือน,120271,Automatic
112,Toyota,VIOS_E_1.5,2018,403900,บาท,6699 บาท /เดือน,124282,Automatic
113,Subaru,XV_I_2.0,2014,425900,บาท,7064 บาท /เดือน,146038,Automatic
114,Nissan,NP300_NAVARA_KING_CAB_E_CALIBRE_BLACK_EDITION_2.5,2019,451900,บาท,7495 บาท /เดือน,95015,เกียร์ธรรมดา
115,Nissan,MARCH_S_1.2,2018,247900,บาท,4111 บาท /เดือน,47708,เกียร์ธรรมดา
116,Honda,CIVIC_TURBO_RS_1.5,2016,702900,บาท,11658 บาท /เดือน,116575,Automatic
117,Toyota,VIOS_S_1.5,2017,455900,บาท,7561 บาท /เดือน,83448,Automatic
118,MG,MG3_X_1.5,2015,238900,บาท,3962 บาท /เดือน,103773,Automatic
119,Mazda,3_MAXX_SPORTS_2.0,2013,332900,บาท,5521 บาท /เดือน,126868,Automatic
120,Mazda,3_E_2.0,2018,463900,บาท,7694 บาท /เดือน,122431,Automatic
121,Honda,HR-V_EL_1.8,2015,548900,บาท,9104 บาท /เดือน,166584,Automatic
